Date,site_no,Mean Flow,Peak Flow,Tqmean,R-B Index,Station
1969-10-01,3335000,1298.0,6800.0,0.25806451612903225,0.32347532183508126,Wildcat
1969-11-01,3335000,1675.8333333333333,5540.0,0.3,0.22544007956240678,Wildcat
1969-12-01,3335000,552.1935483870968,880.0,0.4838709677419355,0.07465825446898001,Wildcat
1970-01-01,3335000,428.7741935483871,2330.0,0.12903225806451613,0.2190791453505868,Wildcat
1970-02-01,3335000,588.6071428571429,1210.0,0.32142857142857145,0.10751774770948365,Wildcat
1970-03-01,3335000,886.6774193548387,2990.0,0.3548387096774194,0.23873103648997707,Wildcat
1970-04-01,3335000,2097.633333333333,6980.0,0.4,0.31751656628899233,Wildcat
1970-05-01,3335000,1481.1290322580646,4430.0,0.3225806451612903,0.26113470543395406,Wildcat
1970-06-01,3335000,353.3,610.0,0.43333333333333335,0.0525521275592037,Wildcat
1970-07-01,3335000,511.48387096774195,3650.0,0.1935483870967742,0.3705852674066599,Wildcat
1970-08-01,3335000,489.0967741935484,2360.0,0.3225806451612903,0.29600316580926,Wildcat
1970-09-01,3335000,243.56666666666666,784.0,0.23333333333333334,0.1665526207745997,Wildcat
1970-10-01,3335000,450.2258064516129,1040.0,0.3548387096774194,0.1652934011607079,Wildcat
1970-11-01,3335000,603.4333333333333,1240.0,0.3,0.1671546152571397,Wildcat
1970-12-01,3335000,439.5483870967742,620.0,0.41935483870967744,0.06649053280493175,Wildcat
1971-01-01,3335000,298.7096774193548,780.0,0.41935483870967744,0.11771058315334773,Wildcat
1971-02-01,3335000,1812.142857142857,6120.0,0.4642857142857143,0.34942845880961765,Wildcat
1971-03-01,3335000,1169.0645161290322,3030.0,0.3870967741935484,0.19762147843602548,Wildcat
1971-04-01,3335000,309.6333333333333,474.0,0.3,0.04413822801162665,Wildcat
1971-05-01,3335000,745.9677419354839,4110.0,0.25806451612903225,0.38845405405405403,Wildcat
1971-06-01,3335000,721.4333333333333,4760.0,0.2,0.5470128910040197,Wildcat
1971-07-01,3335000,263.93548387096774,847.0,0.22580645161290322,0.2219506233194818,Wildcat
1971-08-01,3335000,176.5483870967742,594.0,0.1935483870967742,0.21231500091357575,Wildcat
1971-09-01,3335000,339.56666666666666,2150.0,0.23333333333333334,0.5069205850593894,Wildcat
1971-10-01,3335000,185.61290322580646,317.0,0.3548387096774194,0.08359402155022592,Wildcat
1971-11-01,3335000,137.76666666666668,165.0,0.43333333333333335,0.04500362932494556,Wildcat
1971-12-01,3335000,1460.6129032258063,5460.0,0.3870967741935484,0.29457364341085274,Wildcat
1972-01-01,3335000,728.4516129032259,1660.0,0.3870967741935484,0.1115933044017359,Wildcat
1972-02-01,3335000,298.2758620689655,430.0,0.3793103448275862,0.07560693641618497,Wildcat
1972-03-01,3335000,386.258064516129,886.0,0.3225806451612903,0.14264239184900618,Wildcat
1972-04-01,3335000,2838.9,10500.0,0.3,0.28965444362252984,Wildcat
1972-05-01,3335000,644.2903225806451,1240.0,0.5161290322580645,0.10609322585490412,Wildcat
1972-06-01,3335000,616.9333333333333,2500.0,0.3,0.30597579425113464,Wildcat
1972-07-01,3335000,428.4193548387097,987.0,0.3548387096774194,0.2813041186657631,Wildcat
1972-08-01,3335000,159.83870967741936,250.0,0.4838709677419355,0.11644803229061554,Wildcat
1972-09-01,3335000,749.9333333333333,4410.0,0.2,0.29047026402346876,Wildcat
1972-10-01,3335000,1082.032258064516,3500.0,0.3225806451612903,0.21196672927287363,Wildcat
1972-11-01,3335000,2244.733333333333,5520.0,0.3333333333333333,0.24270143446883075,Wildcat
1972-12-01,3335000,1646.8064516129032,6020.0,0.25806451612903225,0.29874047521106345,Wildcat
1973-01-01,3335000,1380.6129032258063,4630.0,0.3225806451612903,0.2146779130353513,Wildcat
1973-02-01,3335000,1014.7142857142857,3250.0,0.32142857142857145,0.1808390820779952,Wildcat
1973-03-01,3335000,2752.6129032258063,4970.0,0.4838709677419355,0.21431836026766357,Wildcat
1973-04-01,3335000,1390.6666666666667,3470.0,0.36666666666666664,0.174856184084372,Wildcat
1973-05-01,3335000,503.48387096774195,837.0,0.45161290322580644,0.08136852895950794,Wildcat
1973-06-01,3335000,1127.3333333333333,3240.0,0.3,0.3295091661738616,Wildcat
1973-07-01,3335000,350.3225806451613,1140.0,0.3225806451612903,0.22375690607734808,Wildcat
1973-08-01,3335000,782.0967741935484,4150.0,0.22580645161290322,0.3357805733140854,Wildcat
1973-09-01,3335000,168.4,245.0,0.36666666666666664,0.06096595407759303,Wildcat
1973-10-01,3335000,217.03225806451613,469.0,0.3225806451612903,0.12024375743162902,Wildcat
1973-11-01,3335000,1048.3666666666666,5460.0,0.2,0.19627356840799975,Wildcat
1973-12-01,3335000,2084.1612903225805,8680.0,0.25806451612903225,0.27562723459579935,Wildcat
1974-01-01,3335000,3711.2903225806454,11800.0,0.41935483870967744,0.22746631899174272,Wildcat
1974-02-01,3335000,1452.9642857142858,3490.0,0.32142857142857145,0.2004768576555318,Wildcat
1974-03-01,3335000,1800.5806451612902,6000.0,0.2903225806451613,0.2326847970188828,Wildcat
1974-04-01,3335000,1973.2,5290.0,0.36666666666666664,0.16107507264004325,Wildcat
1974-05-01,3335000,2035.032258064516,5480.0,0.3870967741935484,0.21570554481184415,Wildcat
1974-06-01,3335000,1295.8,5730.0,0.3,0.4124607706950661,Wildcat
1974-07-01,3335000,304.4193548387097,618.0,0.3870967741935484,0.052876973614496135,Wildcat
1974-08-01,3335000,201.51612903225808,888.0,0.22580645161290322,0.2674883944293261,Wildcat
